index, LatitudPtoVisado , LongitudPtoVisado , Latitud , Longitud ,Resultado, Temperatura ,Anio,Mes
59, 14.0638 ,-90.7162 , 14.0737 ,-90.7574 ,1, 28.43 ,2019,1
60, 14.2326 ,-91.1627 , 14.2297 ,-91.1528 ,1, 26.20 ,2021,1
61, 14.4108 ,-91.3079 , 14.4112 ,-91.3197 ,1, 27.67 ,2021,3
62, 14.4730 ,-91.7547 , 14.4544 ,-91.7772 ,1, 24.54 ,2018,12
63, 14.4433 ,-91.3782 , 14.4365 ,-91.3752 ,1, 28.31 ,2018,11
64, 14.5519 ,-91.6357 , 14.5474 ,-91.6130 ,1, 25.59 ,2020,12
65, 14.2845 ,-91.2972 , 14.3273 ,-91.0619 ,1, 25.68 ,2019,1
66, 14.2326 ,-91.1627 , 14.2342 ,-91.1705 ,1, 24.82 ,2020,12
67, 14.5498 ,-91.4381 , 14.5457 ,-91.4461 ,1, 27.20 ,2019,2
68, 14.3911 ,-91.4566 , 14.3622 ,-91.6483 ,1, 26.63 ,2018,12
69, 14.0831 ,-90.8163 , 14.0741 ,-90.7897 ,1, 28.34 ,2019,3
70, 14.5438 ,-91.5678 , 14.5435 ,-91.5679 ,1, 26.87 ,2021,3
71, 14.5228 ,-91.5791 , 14.4105 ,-91.8227 ,1, 28.77 ,2019,3
72, 14.2022 ,-90.7036 , 14.2042 ,-90.7063 ,1, 27.77 ,2019,4
73, 14.2022 ,-90.7036 , 14.2042 ,-90.7055 ,1, 26.46 ,2019,2
74, 14.5712 ,-91.6589 , 14.5325 ,-91.6758 ,1, 28.60 ,2020,12
75, 14.3554 ,-91.0887 , 14.3450 ,-91.0715 ,1, 23.34 ,2020,2
76, 14.4213 ,-91.3653 , 14.3273 ,-91.0630 ,1, 25.21 ,2019,1
77, 14.2326 ,-91.1627 , 14.2528 ,-91.2065 ,1, 23.75 ,2020,12
78, 14.3061 ,-91.0467 , 14.3472 ,-91.0674 ,1, 23.70 ,2020,2
79, 14.0462 ,-90.6177 , 14.0462 ,-90.6177 ,1, 24.23 ,2021,1
80, 14.4367 ,-91.7988 , 14.4310 ,-91.8056 ,1, 26.14 ,2021,1
81, 14.3676 ,-91.5540 , 14.3687 ,-91.5541 ,1, 28.62 ,2021,1
82, 14.5357 ,-91.5275 , 14.5340 ,-91.4952 ,1, 23.86 ,2021,1
83, 14.1379 ,-90.6567 , 14.3328 ,-91.0129 ,1, 25.69 ,2019,1
84, 14.5197 ,-91.4154 , 14.5353 ,-91.4207 ,1, 23.14 ,2018,12
85, 14.5519 ,-91.6357 , 14.5551 ,-91.6397 ,1, 26.37 ,2019,1
86, 14.2674 ,-90.8742 , 14.2690 ,-90.8541 ,1, 24.95 ,2020,12
87, 14.5712 ,-91.6589 , 14.5624 ,-91.6853 ,1, 23.75 ,2021,3
88, 14.4730 ,-91.7547 , 14.4732 ,-91.7546 ,1, 27.52 ,2019,1
89, 14.5477 ,-91.6145 , 14.5477 ,-91.6150 ,1, 23.42 ,2019,1
