TransvisadoID,FechaVisado,TipoCarga,PuntoVisado,LatitudPtoVisado,LongitudPtoVisado,Ruta,Zona,FechaAccidente,Latitud,Longitud,Ubicacion,TipoAccidente,Procedencia,Destino,FechaLiberacion,DañoInfraestructuraVial,Observaciones
96DD30B5-C04B-4EF5-8980-CE4A4089587F,00:00.0,Granel,Entrada A Guanagazapa,14.20218718,-90.70357642,Ruta 1,NULL,30:00.0,14.20417625,-90.70631381,km. 72+425 CA-2 oriente,Volcadura,fca. La Luz,Ing. Trinidad,00:00.0,0,Personal del Ing Trinidad coordinaron el tránsito
30CD0A65-EEF1-4853-BDCD-A311182439D9,27:00.0,Granel,Entrada A Guanagazapa,14.20218718,-90.70357642,Ruta 1,NULL,00:00.0,14.20420125,-90.70554749,72+425 CA2 oriente,Volcadura,Luz Barria,ingenio trinidad,00:00.0,NULL,Por la inclinación que tiene la carretera pudo haber provocado que no soportará la tornamesa quebrandose
58B03DC8-5003-43E8-B61B-E7F43B74E972,00:00.0,Granel,Comedor Cristina Cuatro Caminos,14.57116206,-91.658877,Ruta 3,NULL,00:00.0,14.53245978,-91.67582479,KM 186+800 RN-9S,Colisión,NULL,Ingenio El Pilar,NULL,No,NULL
5EDB4CBE-8EF6-441D-84C0-A00AFCB009D2,27:00.0,Granel,FINCA AGUNA,14.35540094,-91.08865328,Ruta 2,NULL,00:00.0,14.34497061,-91.07150301,KM 95+600 CA-2 Occidente,Colisión,Frente 04. Finca Barranquilla,Ingenio Madre Tierra,NULL,NULL,Cuando  llegue al lugar el piloto cañero yano estaba en el lugar del accidente por que fue trasladado a hospital de escuintla con golpes en el cuerpo el nombre melo brindo el jefe de transporte por eso no se logro.obtener el numero de licencia del piloto cañero . El cabezal quedo fuera de la carretera del fuerte golpe se regreso para atras para la calle interna donde venia . Quedo como 6 metros de distancia de la carretera .coordino trafico banderilleros deingenio madre tierra
E1488477-16C2-4572-9E32-DE5789A7C58F,15:00.0,Mecanizado,Finca San Cayetano,14.42125789,-91.36529157,Ruta 3,NULL,15:00.0,14.32729059,-91.0630276,Km 135+000 ca2 occidente,Colisión,Finca Tacaná,Ingenio Palo Gordo,00:00.0,NULL,"Al lugar se presentó personal de la aseguradora y autoridades, quienes determinaron que la culpa del hecho la tuvo el conductor del pick up, por lo que autorizaron que la unidad cañera continuara su recorrido hacia el ingenio. La circulación por el lugar continúo sin problemas por el carril que quedó libre ya que existía poca afluencia de vehículos. Se reporta una persona lesionada y daños materiales."
7D66EA1E-2CFA-447A-AE42-B63870A5A912,30:00.0,Granel,La Platanera Fca. Jabali,14.23263619,-91.16270717,Ruta Interna,Zona 2,50:00.0,14.25278112,-91.20645469,Montaña pamplona,Colisión,NULL,Ingenio Pantaleon,NULL,NULL,"Tipo de vehiculo T3-S2-R4-R4-R4. Código de cabezal 42-274 Código de jaulas 41-623 . 41-400. 41-665. 41-347 . Placas de jaulas ilegible. Ilegible. Ilegible. Tc 82 BSV . Código de ingenio (16) Nombre del transporte , magrisa . Lugar de procedencia  Ingenio magdalena Destino finca la cuchilla Reu. Tipo de producto , Vacio . Tipo de licencia  A  .Version del piloto. Segun  el piloto el venia de ingenio magdalena con destino a reu cuando el se percato que habia una pipa de riego parqueada en la pura vuelta de montaña pamplona el detubo su marcha embrecando estaba el cabezal cuando cintio que le fueron a pegar el se bajo aver y habia sido un cabezal cargado de pantaleón que le fue a pegar a la jaula delantera quedando el cabezal de pantaleón inservible dañandole la jaula y desprendiendole el eje de la jaula . Observaciones . Las jaulas las desengancharón metiendolas entre el cañal en unas calles que habian Libres"
6897CD03-534C-49AC-BD34-B16F4A4396D0,50:00.0,Granel,Circunvalación Cruce A La Union,14.30607178,-91.04667292,Ruta 2,NULL,50:00.0,14.34718253,-91.06735828,km.90+000 CA2 occidente,Volcadura,fca. los llanos,ing. pantaleon,00:00.0,NULL,vehículo cañero quedó fuera de la carretera no hay obstrucción vehicular
D17B8F6C-74F2-49DF-B5B9-85FB1F9B958F,00:00.0,Granel,Cruce Fca. Trebol,14.04622862,-90.61772138,Ruta Interna,Zona 1,30:00.0,NULL,NULL,"Vado Maria Linda, Ruta interna",Volcadura,Finca Canarias,Ing. Santa Ana,NULL,NULL,"El piloto del camion cañero no se encontró en el lugar, devido aque fue llevado por crisis nerviosa hacia una clinica del Ingenio."
5ADE7B28-5334-4F49-89B4-E0643711648C,20:00.0,Vacío,Finca Rincon Alegre,14.43671002,-91.798823,Ruta 3,Zona 3,30:00.0,14.43102938,-91.80564839,Km 205+300 RN-9S,Colisión,Ingenio el Pilar,NULL,00:00.0,NULL,NULL
6E0C454A-A0DE-45E9-9A74-D3E8A6D02275,50:00.0,Granel,Linea A3 La Maquina,14.3675623,-91.554042,Ruta 3,NULL,05:00.0,14.36866464,-91.55405648,KM.188+900 RD-7,Volcadura,NULL,NULL,50:00.0,NULL,NULL
F57F5CC7-0FA1-4039-AED6-B8E37AA016C3,02:00.0,Granel,El Zaguan,14.53572843,-91.52745832,Ruta 3,NULL,00:00.0,14.53397062,-91.49519452,Km158+000 CA2 Occidente,Volcadura,Finca Tonala,Ingenio El Pilar,NULL,NULL,Personal de PROVIAL y banderilleros del ingenio el Pilar coordinan el tráfico mientras el cameco recoge la caña de la jaula volcada y la sube a otra jaula.
AB4AA1CE-9396-4580-923E-E08CB0BACA63,50:00.0,Vacío,Aldea Brito,14.13785142,-90.65670349,Ruta 1,NULL,00:00.0,14.33282406,-91.01286321,KM79+700 CA-2 Oriente ruta chiquimulilla,Otro,Ingenio Concepcion,Fca. Guiscoyol,30:00.0,NULL,"Veh. Boto un árbol y se pasó trayendo cables telefónicos. El paso de vehículos por el lugar continúo sin problemas ya que el vehículo y jaulas quedaron completamente fuera de la cinta asfáltica. No se reportan lesionados, solo daños materiales."
